feature_name,feature_position,X,Y
M-34-069-Cc,NW,-202769.2335,-1090398.784
M-34-069-Cc,NE,-193825.188,-1090721.655
M-34-069-Cc,SE,-194152.2429,-1099988.385
M-34-069-Cc,SW,-203111.3739,-1099664.911
M-34-069-Cc,NW,-202769.2335,-1090398.784
M-34-069-Cd,NW,-193825.188,-1090721.655
M-34-069-Cd,NE,-184880.5697,-1091029.968
M-34-069-Cd,SE,-185192.5413,-1100297.273
M-34-069-Cd,SW,-194152.2429,-1099988.385
M-34-069-Cd,NW,-193825.188,-1090721.655
M-34-069-Dc,NW,-184880.5697,-1091029.968
M-34-069-Dc,NE,-175935.4046,-1091323.724
M-34-069-Dc,SE,-176232.295,-1100591.576
M-34-069-Dc,SW,-185192.5413,-1100297.273
M-34-069-Dc,NW,-184880.5697,-1091029.968
M-34-069-Dd,NW,-175935.4046,-1091323.724
M-34-069-Dd,NE,-166989.7185,-1091602.924
M-34-069-Dd,SE,-167271.5298,-1100871.298
M-34-069-Dd,SW,-176232.295,-1100591.576
M-34-069-Dd,NW,-175935.4046,-1091323.724
M-34-070-Cc,NW,-166989.7185,-1091602.924
M-34-070-Cc,NE,-158043.5374,-1091867.571
M-34-070-Cc,SE,-158310.2717,-1101136.44
M-34-070-Cc,SW,-167271.5298,-1100871.298
M-34-070-Cc,NW,-166989.7185,-1091602.924
M-34-070-Cd,NW,-158043.5374,-1091867.571
M-34-070-Cd,NE,-149096.8875,-1092117.668
M-34-070-Cd,SE,-149348.5464,-1101387.003
M-34-070-Cd,SW,-158310.2717,-1101136.44
M-34-070-Cd,NW,-158043.5374,-1091867.571
M-34-070-Dc,NW,-149096.8875,-1092117.668
M-34-070-Dc,NE,-140149.7947,-1092353.214
M-34-070-Dc,SE,-140386.3802,-1101622.99
M-34-070-Dc,SW,-149348.5464,-1101387.003
M-34-070-Dc,NW,-149096.8875,-1092117.668
M-34-070-Dd,NW,-140149.7947,-1092353.214
M-34-070-Dd,NE,-131202.2852,-1092574.213
M-34-070-Dd,SE,-131423.7988,-1101844.402
M-34-070-Dd,SW,-140386.3802,-1101622.99
M-34-070-Dd,NW,-140149.7947,-1092353.214
M-34-076-Aa,NW,-382134.8558,-1090128.4
M-34-076-Aa,NE,-373192.4798,-1090744.16
M-34-076-Aa,SE,-373821.8398,-1099993.367
M-34-076-Aa,SW,-382779.3631,-1099376.485
M-34-076-Aa,NW,-382134.8558,-1090128.4
M-34-076-Ab,NW,-373192.4798,-1090744.16
M-34-076-Ab,NE,-364249.0278,-1091345.275
M-34-076-Ab,SE,-364863.2442,-1100595.578
M-34-076-Ab,SW,-373821.8398,-1099993.367
M-34-076-Ab,NW,-373192.4798,-1090744.16
M-34-076-Ba,NW,-364249.0278,-1091345.275
M-34-076-Ba,NE,-355304.5247,-1091931.75
M-34-076-Ba,SE,-355903.6011,-1101183.124
M-34-076-Ba,SW,-364863.2442,-1100595.578
M-34-076-Ba,NW,-364249.0278,-1091345.275
M-34-076-Bb,NW,-355304.5247,-1091931.75
M-34-076-Bb,NE,-346358.9951,-1092503.587
M-34-076-Bb,SE,-346942.9351,-1101756.006
M-34-076-Bb,SW,-355903.6011,-1101183.124
M-34-076-Bb,NW,-355304.5247,-1091931.75
M-34-077-Aa,NW,-346358.9951,-1092503.587
M-34-077-Aa,NE,-337412.464,-1093060.791
M-34-077-Aa,SE,-337981.271,-1102314.228
M-34-077-Aa,SW,-346942.9351,-1101756.006
M-34-077-Aa,NW,-346358.9951,-1092503.587
M-34-077-Ab,NW,-337412.464,-1093060.791
M-34-077-Ab,NE,-328464.9561,-1093603.363
M-34-077-Ab,SE,-329018.6336,-1102857.794
M-34-077-Ab,SW,-337981.271,-1102314.228
M-34-077-Ab,NW,-337412.464,-1093060.791
M-34-077-Ba,NW,-328464.9561,-1093603.363
M-34-077-Ba,NE,-319516.4964,-1094131.309
M-34-077-Ba,SE,-320055.0478,-1103386.707
M-34-077-Ba,SW,-329018.6336,-1102857.794
M-34-077-Ba,NW,-328464.9561,-1093603.363
M-34-077-Bb,NW,-319516.4964,-1094131.309
M-34-077-Bb,NE,-310567.11,-1094644.631
M-34-077-Bb,SE,-311090.5385,-1103900.971
M-34-077-Bb,SW,-320055.0478,-1103386.707
M-34-077-Bb,NW,-319516.4964,-1094131.309
M-34-078-Aa,NW,-310567.11,-1094644.631
M-34-078-Aa,NE,-301616.822,-1095143.332
M-34-078-Aa,SE,-302125.1308,-1104400.587
M-34-078-Aa,SW,-311090.5385,-1103900.971
M-34-078-Aa,NW,-310567.11,-1094644.631
M-34-078-Ab,NW,-301616.822,-1095143.332
M-34-078-Ab,NE,-292665.6574,-1095627.415
M-34-078-Ab,SE,-293158.8498,-1104885.56
M-34-078-Ab,SW,-302125.1308,-1104400.587
M-34-078-Ab,NW,-301616.822,-1095143.332
M-34-078-Ba,NW,-292665.6574,-1095627.415
M-34-078-Ba,NE,-283713.6414,-1096096.884
M-34-078-Ba,SE,-284191.7205,-1105355.892
M-34-078-Ba,SW,-293158.8498,-1104885.56
M-34-078-Ba,NW,-292665.6574,-1095627.415
M-34-078-Bb,NW,-283713.6414,-1096096.884
M-34-078-Bb,NE,-274760.7994,-1096551.741
M-34-078-Bb,SE,-275223.7681,-1105811.585
M-34-078-Bb,SW,-284191.7205,-1105355.892
M-34-078-Bb,NW,-283713.6414,-1096096.884
M-34-079-Aa,NW,-274760.7994,-1096551.741
M-34-079-Aa,NE,-265807.1566,-1096991.989
M-34-079-Aa,SE,-266255.0179,-1106252.644
M-34-079-Aa,SW,-275223.7681,-1105811.585
M-34-079-Aa,NW,-274760.7994,-1096551.741
M-34-079-Ab,NW,-265807.1566,-1096991.989
M-34-079-Ab,NE,-256852.7385,-1097417.632
M-34-079-Ab,SE,-257285.4952,-1106679.071
M-34-079-Ab,SW,-266255.0179,-1106252.644
M-34-079-Ab,NW,-265807.1566,-1096991.989
M-34-079-Ba,NW,-256852.7385,-1097417.632
M-34-079-Ba,NE,-247897.5704,-1097828.671
M-34-079-Ba,SE,-248315.2253,-1107090.869
M-34-079-Ba,SW,-257285.4952,-1106679.071
M-34-079-Ba,NW,-256852.7385,-1097417.632
M-34-079-Bb,NW,-247897.5704,-1097828.671
M-34-079-Bb,NE,-238941.6778,-1098225.11
M-34-079-Bb,SE,-239344.2337,-1107488.039
M-34-079-Bb,SW,-248315.2253,-1107090.869
M-34-079-Bb,NW,-247897.5704,-1097828.671
M-34-080-Aa,NW,-238941.6778,-1098225.11
M-34-080-Aa,NE,-229985.0862,-1098606.951
M-34-080-Aa,SE,-230372.5457,-1107870.585
M-34-080-Aa,SW,-239344.2337,-1107488.039
M-34-080-Aa,NW,-238941.6778,-1098225.11
M-34-080-Ab,NW,-229985.0862,-1098606.951
