feature_name,feature_position,X,Y
26-11-01,SE,-439609.75,-1122341.22
26-11-01,SW,-444419.43,-1121982.95
26-11-01,NW,-444107.24,-1118195.68
26-11-01,NE,-439300.55,-1118553.72
26-11-02,SE,-434800.08,-1122699.48
26-11-02,SW,-439609.75,-1122341.22
26-11-02,NW,-439300.55,-1118553.72
26-11-02,NE,-434493.87,-1118911.76
26-11-03,SE,-429990.4,-1123057.75
26-11-03,SW,-434800.08,-1122699.48
26-11-03,NW,-434493.87,-1118911.76
26-11-03,NE,-429687.19,-1119269.81
26-11-04,SE,-425180.73,-1123416.01
26-11-04,SW,-429990.4,-1123057.75
26-11-04,NW,-429687.19,-1119269.81
26-11-04,NE,-424880.5,-1119627.85
26-11-05,SE,-420371.05,-1123774.28
26-11-05,SW,-425180.73,-1123416.01
26-11-05,NW,-424880.5,-1119627.85
26-11-05,NE,-420073.82,-1119985.89
26-12-01,SE,-415561.38,-1124132.54
26-12-01,SW,-420371.05,-1123774.28
26-12-01,NW,-420073.82,-1119985.89
26-12-01,NE,-415267.14,-1120343.93
26-12-02,SE,-410751.7,-1124490.81
26-12-02,SW,-415561.38,-1124132.54
26-12-02,NW,-415267.14,-1120343.93
26-12-02,NE,-410460.45,-1120701.97
26-12-03,SE,-405942.03,-1124849.07
26-12-03,SW,-410751.7,-1124490.81
26-12-03,NW,-410460.45,-1120701.97
26-12-03,NE,-405653.77,-1121060.02
26-12-04,SE,-401132.35,-1125207.34
26-12-04,SW,-405942.03,-1124849.07
26-12-04,NW,-405653.77,-1121060.02
26-12-04,NE,-400847.09,-1121418.06
26-12-05,SE,-396322.68,-1125565.6
26-12-05,SW,-401132.35,-1125207.34
26-12-05,NW,-400847.09,-1121418.06
26-12-05,NE,-396040.4,-1121776.1
26-21-01,SE,-391513.0,-1125923.87
26-21-01,SW,-396322.68,-1125565.6
26-21-01,NW,-396040.4,-1121776.1
26-21-01,NE,-391233.72,-1122134.14
26-21-02,SE,-386703.33,-1126282.13
26-21-02,SW,-391513.0,-1125923.87
26-21-02,NW,-391233.72,-1122134.14
26-21-02,NE,-386427.04,-1122492.19
26-21-03,SE,-381893.65,-1126640.4
26-21-03,SW,-386703.33,-1126282.13
26-21-03,NW,-386427.04,-1122492.19
26-21-03,NE,-381620.35,-1122850.23
26-21-04,SE,-377083.98,-1126998.66
26-21-04,SW,-381893.65,-1126640.4
26-21-04,NW,-381620.35,-1122850.23
26-21-04,NE,-376813.67,-1123208.27
26-21-05,SE,-372274.3,-1127356.93
26-21-05,SW,-377083.98,-1126998.66
26-21-05,NW,-376813.67,-1123208.27
26-21-05,NE,-372006.99,-1123566.31
26-22-01,SE,-367464.63,-1127715.19
26-22-01,SW,-372274.3,-1127356.93
26-22-01,NW,-372006.99,-1123566.31
26-22-01,NE,-367200.3,-1123924.35
26-22-02,SE,-362654.95,-1128073.46
26-22-02,SW,-367464.63,-1127715.19
26-22-02,NW,-367200.3,-1123924.35
26-22-02,NE,-362393.62,-1124282.4
26-22-03,SE,-357845.28,-1128431.72
26-22-03,SW,-362654.95,-1128073.46
26-22-03,NW,-362393.62,-1124282.4
26-22-03,NE,-357586.94,-1124640.44
26-22-04,SE,-353035.6,-1128789.99
26-22-04,SW,-357845.28,-1128431.72
26-22-04,NW,-357586.94,-1124640.44
26-22-04,NE,-352780.25,-1124998.48
26-22-05,SE,-348225.93,-1129148.25
26-22-05,SW,-353035.6,-1128789.99
26-22-05,NW,-352780.25,-1124998.48
26-22-05,NE,-347973.57,-1125356.52
27-11-01,SE,-343411.19,-1129430.54
27-11-01,SW,-348225.93,-1129148.25
27-11-01,NW,-347973.57,-1125356.52
27-11-01,NE,-343161.83,-1125638.63
27-11-02,SE,-338596.46,-1129712.82
27-11-02,SW,-343411.19,-1129430.54
27-11-02,NW,-343161.83,-1125638.63
27-11-02,NE,-338350.09,-1125920.74
27-11-03,SE,-333781.73,-1129995.1
27-11-03,SW,-338596.46,-1129712.82
27-11-03,NW,-338350.09,-1125920.74
27-11-03,NE,-333538.36,-1126202.84
27-11-04,SE,-328967.0,-1130277.38
27-11-04,SW,-333781.73,-1129995.1
27-11-04,NW,-333538.36,-1126202.84
27-11-04,NE,-328726.62,-1126484.95
27-11-05,SE,-324152.27,-1130559.67
27-11-05,SW,-328967.0,-1130277.38
27-11-05,NW,-328726.62,-1126484.95
27-11-05,NE,-323914.88,-1126767.06
27-12-01,SE,-319337.53,-1130841.95
27-12-01,SW,-324152.27,-1130559.67
27-12-01,NW,-323914.88,-1126767.06
27-12-01,NE,-319103.15,-1127049.17
27-12-02,SE,-314522.8,-1131124.23
27-12-02,SW,-319337.53,-1130841.95
27-12-02,NW,-319103.15,-1127049.17
27-12-02,NE,-314291.41,-1127331.27
27-12-03,SE,-309708.07,-1131406.52
27-12-03,SW,-314522.8,-1131124.23
27-12-03,NW,-314291.41,-1127331.27
27-12-03,NE,-309479.67,-1127613.38
27-12-04,SE,-304893.34,-1131688.8
27-12-04,SW,-309708.07,-1131406.52
27-12-04,NW,-309479.67,-1127613.38
27-12-04,NE,-304667.93,-1127895.49
27-12-05,SE,-300078.6,-1131971.08
27-12-05,SW,-304893.34,-1131688.8
27-12-05,NW,-304667.93,-1127895.49
27-12-05,NE,-299856.2,-1128177.6
27-21-01,SE,-295263.87,-1132253.36
27-21-01,SW,-300078.6,-1131971.08
27-21-01,NW,-299856.2,-1128177.6
27-21-01,NE,-295044.46,-1128459.7
27-21-02,SE,-290449.14,-1132535.65
27-21-02,SW,-295263.87,-1132253.36
27-21-02,NW,-295044.46,-1128459.7
27-21-02,NE,-290232.72,-1128741.81
27-21-03,SE,-285634.41,-1132817.93
27-21-03,SW,-290449.14,-1132535.65
27-21-03,NW,-290232.72,-1128741.81
27-21-03,NE,-285420.98,-1129023.92
27-21-04,SE,-280819.68,-1133100.21
27-21-04,SW,-285634.41,-1132817.93
27-21-04,NW,-285420.98,-1129023.92
27-21-04,NE,-280609.25,-1129306.03
27-21-05,SE,-276004.94,-1133382.5
27-21-05,SW,-280819.68,-1133100.21
27-21-05,NW,-280609.25,-1129306.03
27-21-05,NE,-275797.51,-1129588.13
27-22-01,SE,-271190.21,-1133664.78
27-22-01,SW,-276004.94,-1133382.5
27-22-01,NW,-275797.51,-1129588.13
27-22-01,NE,-270985.77,-1129870.24
27-22-02,SE,-266375.48,-1133947.06
27-22-02,SW,-271190.21,-1133664.78
27-22-02,NW,-270985.77,-1129870.24
27-22-02,NE,-266174.04,-1130152.35
27-22-03,SE,-261560.75,-1134229.34
27-22-03,SW,-266375.48,-1133947.06
27-22-03,NW,-266174.04,-1130152.35
27-22-03,NE,-261362.3,-1130434.45
27-22-04,SE,-256746.02,-1134511.63
27-22-04,SW,-261560.75,-1134229.34
27-22-04,NW,-261362.3,-1130434.45
27-22-04,NE,-256550.56,-1130716.56
27-22-05,SE,-251931.28,-1134793.91
27-22-05,SW,-256746.02,-1134511.63
27-22-05,NW,-256550.56,-1130716.56
27-22-05,NE,-251738.82,-1130998.67
28-11-01,SE,-247112.69,-1135000.14
28-11-01,SW,-251931.28,-1134793.91
28-11-01,NW,-251738.82,-1130998.67
28-11-01,NE,-246923.23,-1131204.77
28-11-02,SE,-242294.11,-1135206.37
28-11-02,SW,-247112.69,-1135000.14
28-11-02,NW,-246923.23,-1131204.77
28-11-02,NE,-242107.64,-1131410.87
28-11-03,SE,-237475.52,-1135412.6
28-11-03,SW,-242294.11,-1135206.37
28-11-03,NW,-242107.64,-1131410.87
28-11-03,NE,-237292.05,-1131616.98
28-11-04,SE,-232656.93,-1135618.83
28-11-04,SW,-237475.52,-1135412.6
28-11-04,NW,-237292.05,-1131616.98
28-11-04,NE,-232476.46,-1131823.08
28-11-05,SE,-227838.34,-1135825.06
28-11-05,SW,-232656.93,-1135618.83
28-11-05,NW,-232476.46,-1131823.08
28-11-05,NE,-227660.87,-1132029.18
28-12-01,SE,-223019.75,-1136031.29
28-12-01,SW,-227838.34,-1135825.06
28-12-01,NW,-227660.87,-1132029.18
28-12-01,NE,-222845.27,-1132235.28
28-12-02,SE,-218201.16,-1136237.52
28-12-02,SW,-223019.75,-1136031.29
28-12-02,NW,-222845.27,-1132235.28
28-12-02,NE,-218029.68,-1132441.38
28-12-03,SE,-213382.57,-1136443.75
28-12-03,SW,-218201.16,-1136237.52
28-12-03,NW,-218029.68,-1132441.38
28-12-03,NE,-213214.09,-1132647.49
28-12-04,SE,-208563.98,-1136649.98
28-12-04,SW,-213382.57,-1136443.75
28-12-04,NW,-213214.09,-1132647.49
28-12-04,NE,-208398.5,-1132853.59
28-12-05,SE,-203745.4,-1136856.21
28-12-05,SW,-208563.98,-1136649.98
28-12-05,NW,-208398.5,-1132853.59
28-12-05,NE,-203582.91,-1133059.69
28-21-01,SE,-198926.81,-1137062.44
28-21-01,SW,-203745.4,-1136856.21
28-21-01,NW,-203582.91,-1133059.69
28-21-01,NE,-198767.32,-1133265.79
28-21-02,SE,-194108.22,-1137268.68
28-21-02,SW,-198926.81,-1137062.44
28-21-02,NW,-198767.32,-1133265.79
28-21-02,NE,-193951.73,-1133471.89
28-21-03,SE,-189289.63,-1137474.91
28-21-03,SW,-194108.22,-1137268.68
28-21-03,NW,-193951.73,-1133471.89
28-21-03,NE,-189136.13,-1133678.0
28-21-04,SE,-184471.04,-1137681.14
28-21-04,SW,-189289.63,-1137474.91
28-21-04,NW,-189136.13,-1133678.0
28-21-04,NE,-184320.54,-1133884.1
28-21-05,SE,-179652.45,-1137887.37
28-21-05,SW,-184471.04,-1137681.14
28-21-05,NW,-184320.54,-1133884.1
28-21-05,NE,-179504.95,-1134090.2
28-22-01,SE,-174833.86,-1138093.6
28-22-01,SW,-179652.45,-1137887.37
28-22-01,NW,-179504.95,-1134090.2
28-22-01,NE,-174689.36,-1134296.3
28-22-02,SE,-170015.27,-1138299.83
28-22-02,SW,-174833.86,-1138093.6
28-22-02,NW,-174689.36,-1134296.3
28-22-02,NE,-169873.77,-1134502.4
28-22-03,SE,-165196.69,-1138506.06
28-22-03,SW,-170015.27,-1138299.83
28-22-03,NW,-169873.77,-1134502.4
28-22-03,NE,-165058.18,-1134708.51
28-22-04,SE,-160378.1,-1138712.29
28-22-04,SW,-165196.69,-1138506.06
28-22-04,NW,-165058.18,-1134708.51
28-22-04,NE,-160242.58,-1134914.61
28-22-05,SE,-155559.51,-1138918.52
28-22-05,SW,-160378.1,-1138712.29
28-22-05,NW,-160242.58,-1134914.61
28-22-05,NE,-155426.99,-1135120.71
25-21-08,SE,-478376.47,-1122729.23
25-21-08,SW,-483182.88,-1122294.8
25-21-08,NW,-482846.78,-1118509.69
25-21-08,NE,-478043.36,-1118943.85
25-21-09,SE,-473570.06,-1123163.66
25-21-09,SW,-478376.47,-1122729.23
25-21-09,NW,-478043.36,-1118943.85
25-21-09,NE,-473239.94,-1119378.0
25-21-10,SE,-468763.66,-1123598.09
25-21-10,SW,-473570.06,-1123163.66
25-21-10,NW,-473239.94,-1119378.0
25-21-10,NE,-468436.52,-1119812.16
25-22-06,SE,-463957.25,-1124032.51
25-22-06,SW,-468763.66,-1123598.09
25-22-06,NW,-468436.52,-1119812.16
25-22-06,NE,-463633.11,-1120246.32
25-22-07,SE,-459150.84,-1124466.94
25-22-07,SW,-463957.25,-1124032.51
25-22-07,NW,-463633.11,-1120246.32
25-22-07,NE,-458829.69,-1120680.48
25-22-08,SE,-454344.43,-1124901.37
25-22-08,SW,-459150.84,-1124466.94
25-22-08,NW,-458829.69,-1120680.48
25-22-08,NE,-454026.27,-1121114.64
25-22-09,SE,-449538.03,-1125335.8
25-22-09,SW,-454344.43,-1124901.37
25-22-09,NW,-454026.27,-1121114.64
25-22-09,NE,-449222.85,-1121548.79
25-22-10,SE,-444731.62,-1125770.23
25-22-10,SW,-449538.03,-1125335.8
25-22-10,NW,-449222.85,-1121548.79
25-22-10,NE,-444419.43,-1121982.95
26-11-06,SE,-439918.95,-1126128.71
26-11-06,SW,-444731.62,-1125770.23
26-11-06,NW,-444419.43,-1121982.95
26-11-06,NE,-439609.75,-1122341.22
26-11-07,SE,-435106.29,-1126487.2
26-11-07,SW,-439918.95,-1126128.71
26-11-07,NW,-439609.75,-1122341.22
26-11-07,NE,-434800.08,-1122699.48
26-11-08,SE,-430293.62,-1126845.69
26-11-08,SW,-435106.29,-1126487.2
26-11-08,NW,-434800.08,-1122699.48
26-11-08,NE,-429990.4,-1123057.75
26-11-09,SE,-425480.95,-1127204.18
26-11-09,SW,-430293.62,-1126845.69
26-11-09,NW,-429990.4,-1123057.75
26-11-09,NE,-425180.73,-1123416.01
26-11-10,SE,-420668.29,-1127562.66
26-11-10,SW,-425480.95,-1127204.18
26-11-10,NW,-425180.73,-1123416.01
26-11-10,NE,-420371.05,-1123774.28
26-12-06,SE,-415855.62,-1127921.15
26-12-06,SW,-420668.29,-1127562.66
26-12-06,NW,-420371.05,-1123774.28
26-12-06,NE,-415561.38,-1124132.54
26-12-07,SE,-411042.95,-1128279.64
26-12-07,SW,-415855.62,-1127921.15
26-12-07,NW,-415561.38,-1124132.54
26-12-07,NE,-410751.7,-1124490.81
26-12-08,SE,-406230.29,-1128638.13
26-12-08,SW,-411042.95,-1128279.64
26-12-08,NW,-410751.7,-1124490.81
26-12-08,NE,-405942.03,-1124849.07
26-12-09,SE,-401417.62,-1128996.62
26-12-09,SW,-406230.29,-1128638.13
26-12-09,NW,-405942.03,-1124849.07
26-12-09,NE,-401132.35,-1125207.34
26-12-10,SE,-396604.95,-1129355.1
26-12-10,SW,-401417.62,-1128996.62
26-12-10,NW,-401132.35,-1125207.34
26-12-10,NE,-396322.68,-1125565.6
26-21-06,SE,-391792.28,-1129713.59
26-21-06,SW,-396604.95,-1129355.1
26-21-06,NW,-396322.68,-1125565.6
26-21-06,NE,-391513.0,-1125923.87
26-21-07,SE,-386979.62,-1130072.08
26-21-07,SW,-391792.28,-1129713.59
26-21-07,NW,-391513.0,-1125923.87
26-21-07,NE,-386703.33,-1126282.13
26-21-08,SE,-382166.95,-1130430.57
26-21-08,SW,-386979.62,-1130072.08
26-21-08,NW,-386703.33,-1126282.13
26-21-08,NE,-381893.65,-1126640.4
26-21-09,SE,-377354.28,-1130789.06
26-21-09,SW,-382166.95,-1130430.57
26-21-09,NW,-381893.65,-1126640.4
26-21-09,NE,-377083.98,-1126998.66
26-21-10,SE,-372541.62,-1131147.54
26-21-10,SW,-377354.28,-1130789.06
26-21-10,NW,-377083.98,-1126998.66
26-21-10,NE,-372274.3,-1127356.93
26-22-06,SE,-367728.95,-1131506.03
26-22-06,SW,-372541.62,-1131147.54
26-22-06,NW,-372274.3,-1127356.93
26-22-06,NE,-367464.63,-1127715.19
26-22-07,SE,-362916.28,-1131864.52
26-22-07,SW,-367728.95,-1131506.03
26-22-07,NW,-367464.63,-1127715.19
26-22-07,NE,-362654.95,-1128073.46
26-22-08,SE,-358103.62,-1132223.01
26-22-08,SW,-362916.28,-1131864.52
26-22-08,NW,-362654.95,-1128073.46
26-22-08,NE,-357845.28,-1128431.72
26-22-09,SE,-353290.95,-1132581.5
26-22-09,SW,-358103.62,-1132223.01
26-22-09,NW,-357845.28,-1128431.72
26-22-09,NE,-353035.6,-1128789.99
26-22-10,SE,-348478.28,-1132939.98
26-22-10,SW,-353290.95,-1132581.5
26-22-10,NW,-353035.6,-1128789.99
26-22-10,NE,-348225.93,-1129148.25
27-11-06,SE,-343660.56,-1133222.44
27-11-06,SW,-348478.28,-1132939.98
27-11-06,NW,-348225.93,-1129148.25
27-11-06,NE,-343411.19,-1129430.54
27-11-07,SE,-338842.83,-1133504.9
27-11-07,SW,-343660.56,-1133222.44
27-11-07,NW,-343411.19,-1129430.54
27-11-07,NE,-338596.46,-1129712.82
27-11-08,SE,-334025.1,-1133787.36
27-11-08,SW,-338842.83,-1133504.9
27-11-08,NW,-338596.46,-1129712.82
27-11-08,NE,-333781.73,-1129995.1
27-11-09,SE,-329207.37,-1134069.82
27-11-09,SW,-334025.1,-1133787.36
27-11-09,NW,-333781.73,-1129995.1
27-11-09,NE,-328967.0,-1130277.38
27-11-10,SE,-324389.65,-1134352.28
27-11-10,SW,-329207.37,-1134069.82
27-11-10,NW,-328967.0,-1130277.38
27-11-10,NE,-324152.27,-1130559.67
27-12-06,SE,-319571.92,-1134634.73
27-12-06,SW,-324389.65,-1134352.28
27-12-06,NW,-324152.27,-1130559.67
27-12-06,NE,-319337.53,-1130841.95
27-12-07,SE,-314754.19,-1134917.19
27-12-07,SW,-319571.92,-1134634.73
27-12-07,NW,-319337.53,-1130841.95
27-12-07,NE,-314522.8,-1131124.23
27-12-08,SE,-309936.47,-1135199.65
27-12-08,SW,-314754.19,-1134917.19
27-12-08,NW,-314522.8,-1131124.23
27-12-08,NE,-309708.07,-1131406.52
27-12-09,SE,-305118.74,-1135482.11
27-12-09,SW,-309936.47,-1135199.65
27-12-09,NW,-309708.07,-1131406.52
27-12-09,NE,-304893.34,-1131688.8
27-12-10,SE,-300301.01,-1135764.57
27-12-10,SW,-305118.74,-1135482.11
27-12-10,NW,-304893.34,-1131688.8
